Student_ID,Name,Program,Year_Level,Prelim,Midterm,Finals
001,Harry,BSCS,1,99,98,95
002,Hermione,BSCS,1,100,96,94
003,Ron,BSIT,1,90,95,93
004,Draco,BSIT,1,89,91,91
005,Neville,BSIS,1,91,93,89
006,Luna,BSIS,2,92,95,92
007,Ginny,BSCS,2,94,97,95
008,Fred,BSCS,2,88,96,98
009,George,BSCS,2,86,93,93
010,Seamus,BSIT,2,87,90,88
011,Dean,BSIT,3,85,87,83
012,Cho,BSIT,3,96,84,90
013,Cedric,BSIS,3,92,88,97
014,Pansy,BSIS,3,93,92,95
015,Blaise,BSIS,3,95,96,93
016,Lavender,BSCS,4,94,92,91
017,Parvati,BSIT,4,87,91,91
018,Padma,BSIS,4,88,90,91
019,Colin,BSCS,4,80,95,94
020,Denis,BSCS,4,81,100,97
